species,compass,fixes,total,pct,compass_order
Barn Swallow,N,27,89,30.3,0
Barn Swallow,NE,12,89,13.5,1
Barn Swallow,E,1,89,1.1,2
Barn Swallow,SE,3,89,3.4,3
Barn Swallow,S,29,89,32.6,4
Barn Swallow,SW,10,89,11.2,5
Barn Swallow,W,2,89,2.2,6
Barn Swallow,NW,5,89,5.6,7
Grey Plover,N,76,861,8.8,0
Grey Plover,NE,123,861,14.3,1
Grey Plover,E,126,861,14.6,2
Grey Plover,SE,106,861,12.3,3
Grey Plover,S,61,861,7.1,4
Grey Plover,SW,104,861,12.1,5
Grey Plover,W,153,861,17.8,6
Grey Plover,NW,112,861,13.0,7
Red Knot,N,1,3,33.3,0
Red Knot,SE,1,3,33.3,3
Red Knot,S,1,3,33.3,4
Upland Sandpiper,N,1,11,9.1,0
Upland Sandpiper,SE,4,11,36.4,3
Upland Sandpiper,W,1,11,9.1,6
Upland Sandpiper,NW,5,11,45.5,7
