species,species_id,individual-local-identifier,date,daily_dist_km,avg_speed_kmh,max_speed_kmh,pct_migrating
Grey Plover,1,113997,2012-04-21,67.36258197293498,20.150426748898887,200.0,15.384615384615385
Grey Plover,1,Yanis,2012-03-09,58.114190030959264,4.250378073441172,7.776271373569888,0.0
Grey Plover,1,Alba,2012-01-13,53.458891355117416,8.609996003360598,34.60489117777217,16.666666666666664
Grey Plover,1,Yanis,2012-04-12,36.10949737831027,4.648519137185309,9.243452000138674,0.0
Grey Plover,1,Magnus,2012-07-09,86.69819455289647,20.32067826085596,78.31628408122361,50.0
Grey Plover,1,Emma,2012-12-09,1.6201868312014287,0.01310595135791197,0.01310595135791197,0.0
Grey Plover,1,113999,2012-11-19,18.497070128868238,3.258126678326035,7.034791121214576,0.0
Grey Plover,1,Magnus,2012-07-31,383.34033600127265,50.85893859460129,200.0,63.63636363636363
Grey Plover,1,Emma,2012-07-12,78.08688384554594,50.81490590127974,189.96864892761053,42.857142857142854
Grey Plover,1,Emma,2012-05-08,51.27790099212275,21.851976996214123,156.656126871322,12.5
Grey Plover,1,114001,2012-07-24,238.33882733838806,35.63087442686524,200.0,32.25806451612903
Grey Plover,1,Achilles,2011-05-21,192.66170014147468,42.58498794956036,200.0,75.0
Grey Plover,1,Emma,2011-06-14,270.1097672029512,35.4597229407431,200.0,45.0
Grey Plover,1,Emma,2012-01-12,171.4255932811091,6.237691107807338,10.40401848855624,0.0
Grey Plover,1,Alba,2011-08-18,6.722713932279718,1.3781117204734192,1.632212211832496,0.0
Grey Plover,1,Magnus,2012-08-06,35.323105489630464,11.836909497239315,46.10227701560021,29.411764705882355
Grey Plover,1,Emma,2011-11-15,4.612000669061114,2.1096831315265527,4.197983686608512,0.0
Grey Plover,1,Emma,2012-02-17,11.390472165239485,0.19504233159656653,0.19504233159656653,0.0
Grey Plover,1,Magnus,2011-11-09,873.2442645211856,52.83147154534264,78.79645308170888,66.66666666666666
Grey Plover,1,113996,2012-08-04,90.32681975713217,13.072901518196923,54.448970250651676,29.629629629629626
Grey Plover,1,Emma,2011-07-11,116.9969970268054,22.412642660604853,78.688279656455,42.857142857142854
Grey Plover,1,Emma,2012-12-29,9.451150335155441,0.1534422957015211,0.1534422957015211,0.0
Grey Plover,1,Yanis,2012-11-29,696.2291983218417,75.8431767670098,133.6107472232221,80.0
Grey Plover,1,Magnus,2012-08-14,192.8895426969528,29.726640031447946,200.0,25.0
Grey Plover,1,113999,2012-10-29,74.24809515022089,10.102015153551331,35.63715898872762,20.0
Grey Plover,1,Emma,2011-06-22,48.92890932778084,10.430649244600193,34.538831637539,28.57142857142857
Grey Plover,1,Alba,2011-12-09,104.51140241084207,34.47913696296862,200.0,33.33333333333333
Grey Plover,1,Magnus,2012-07-03,174.8043909137128,30.250603749868105,200.0,46.875
Grey Plover,1,113998,2012-04-26,8.616746350372864,1.184978543512164,3.7341144926595997,0.0
Grey Plover,1,Yanis,2011-06-05,36.98776389899972,5.309737012618222,21.01800813831809,14.285714285714285
Grey Plover,1,113999,2012-10-15,24.27491132659293,15.170332563136967,45.067104918893406,33.33333333333333
Grey Plover,1,114001,2012-07-20,9.91901428451419,9.08087197055611,25.158189491437923,16.666666666666664
Grey Plover,1,Yanis,2012-08-01,1502.934978513759,54.838361733822175,200.0,82.75862068965517
Grey Plover,1,Yanis,2013-04-02,527.8497752859367,4.96434049081452,7.6037958206182275,0.0
Grey Plover,1,Magnus,2011-10-05,176.09680302209793,31.218421929548562,121.92322040704263,25.0
Grey Plover,1,Magnus,2011-04-05,204.58299133404722,84.45414368945679,200.0,66.66666666666666
Grey Plover,1,Yanis,2011-07-05,6.426473082960988,1.3729116207210406,2.2412255219224266,0.0
Grey Plover,1,Magnus,2012-06-27,167.66295918601202,37.79894137418212,200.0,33.33333333333333
Grey Plover,1,Yanis,2013-03-22,2.4903754464501353,0.4063523368182245,0.4063523368182245,0.0
Grey Plover,1,113998,2012-07-09,121.44325502202022,20.04751287116319,45.811669999094924,60.0
Grey Plover,1,113997,2012-04-26,11.602410351996165,1.1915102966179438,3.3261220362295463,0.0
Grey Plover,1,Magnus,2012-08-03,60.83696099427838,5.151638497572907,22.313325470379702,5.0
Grey Plover,1,Magnus,2012-04-09,17.739838592886656,0.2820311645611526,0.2820311645611526,0.0
Grey Plover,1,Magnus,2012-03-09,35.34499094132856,24.160986882475996,101.48279764382367,20.0
Grey Plover,1,Alba,2012-01-05,38.25855350214031,3.656639096558686,7.2150791774707,0.0
Grey Plover,1,Emma,2012-11-20,16.107565821115244,0.9004303306416747,2.318203041265912,0.0
Grey Plover,1,113996,2012-07-17,11.26296644553404,8.044418777114146,11.709917749830945,0.0
Grey Plover,1,114001,2012-08-02,186.29388129077745,27.195669162685586,200.0,46.42857142857143
Grey Plover,1,Emma,2012-11-04,7.907982608055647,0.5903999496830333,1.1493264046556573,0.0
Grey Plover,1,Yanis,2013-06-30,46.04777915312496,131.03424361053555,200.0,100.0
Grey Plover,1,113999,2012-09-23,27.460438721171716,5.262125483617759,14.422899281207243,0.0
Grey Plover,1,Magnus,2011-04-19,18.68668569153093,4.26007827888253,8.001283395435978,0.0
Grey Plover,1,114001,2012-11-18,41.786298439367016,6.335312745283253,27.957956357675776,14.285714285714285
Grey Plover,1,113999,2012-10-11,10.811222652354498,1.7098601522200223,4.476986925420117,0.0
Grey Plover,1,Yanis,2013-09-27,82.89942175769757,4.978087747690126,12.284727962752505,0.0
Grey Plover,1,Yanis,2012-07-13,3.8007401297726133,8.358888232227091,16.196589268204292,50.0
Grey Plover,1,113997,2012-05-27,0.5167484466307967,0.010934418027595443,0.010934418027595443,0.0
Grey Plover,1,Yanis,2012-12-30,2.2803551567695353,0.033845018920947115,0.033845018920947115,0.0
Grey Plover,1,Yanis,2012-12-13,26.60440732795882,5.134833731900136,9.260413365535491,0.0
Grey Plover,1,Alba,2011-09-02,3.6836810868917227,0.06864463919834254,0.06864463919834254,0.0
Grey Plover,1,Yanis,2013-07-27,160.83548020850125,21.676239374193724,200.0,43.333333333333336
Grey Plover,1,Alba,2012-01-19,6.405255284272531,1.7187569285120003,2.8964840629882587,0.0
Grey Plover,1,Alba,2011-08-07,16.12179297525383,2.252466979890945,4.362266581275693,0.0
Grey Plover,1,114001,2012-11-23,2.746802759318667,0.5316678280309264,0.5316678280309264,0.0
Grey Plover,1,Magnus,2011-05-25,83.4535034853115,50.300183655984,165.68421696862998,50.0
Grey Plover,1,113998,2012-04-30,14.43117936523247,3.005375679503014,12.81757529183899,0.0
Grey Plover,1,Magnus,2011-06-02,94.20052250474134,19.61050260235412,38.76260839582205,50.0
Grey Plover,1,113999,2012-06-27,24.230191961995168,0.5295863121660521,0.5295863121660521,0.0
Grey Plover,1,Yanis,2012-07-07,148.71354014215854,24.089950489848764,200.0,34.285714285714285
Grey Plover,1,114001,2012-10-10,1.7750215333549217,0.9022726692996619,1.7805393623446593,0.0
Grey Plover,1,113997,2012-05-19,1.8839051629803631,4.297682184970603,8.164867301077878,0.0
Grey Plover,1,114002,2012-06-14,9.479163206702928,0.7830592423914466,1.449073644642902,0.0
Grey Plover,1,114001,2012-08-08,13.250005836189514,9.26387892612665,18.385215484301828,50.0
Grey Plover,1,Magnus,2011-04-25,226.9204843701338,48.780750871081246,115.38159172856693,66.66666666666666
Grey Plover,1,Yanis,2012-05-31,760.5936156102985,13.220498067224531,13.220498067224531,0.0
Grey Plover,1,113996,2012-08-06,335.2585243116964,74.72620025811487,200.0,78.26086956521739
Grey Plover,1,Yanis,2012-07-29,116.62447282926799,28.813992953521026,200.0,37.93103448275862
Grey Plover,1,Emma,2012-07-22,30.559136078597888,4.758819443821313,17.784733577357674,15.384615384615385
Grey Plover,1,Emma,2011-12-10,11.866053794672347,0.6165102267542978,1.5451885532437981,0.0
Grey Plover,1,Emma,2012-10-16,28.85764439262758,3.4218546931651685,10.30819910521706,0.0
Grey Plover,1,Achilles,2011-05-27,38.9686801748378,12.321030092167229,12.321030092167229,0.0
Grey Plover,1,Yanis,2013-04-04,29.56951297484573,6.559223431672676,12.923069136982123,0.0
Grey Plover,1,Emma,2011-10-25,5.208570633654183,0.6910608777678889,1.380074481752007,0.0
Grey Plover,1,Yanis,2011-05-25,43.11925852155579,52.105534364884996,200.0,25.0
Grey Plover,1,Yanis,2012-03-18,32.36948757066395,3.5636996731571156,7.356307728738675,0.0
Grey Plover,1,113999,2012-06-17,22.171253479361898,20.204061390996756,138.45560755250034,20.0
Grey Plover,1,Emma,2011-11-26,26.132980498891772,5.947697262970461,11.873841302460855,0.0
Grey Plover,1,113998,2012-06-15,2.201875695457682,7.297721718589043,11.430983898992615,0.0
Grey Plover,1,Yanis,2012-05-21,43.25883325238018,6.548304749994408,11.080203128408682,0.0
Grey Plover,1,114001,2012-05-24,34.52551514456102,2.283510929022161,5.578898439617835,0.0
Grey Plover,1,114001,2012-06-04,883.5422631521135,97.96223634859025,200.0,78.94736842105263
Grey Plover,1,113999,2013-01-14,12.850631696767797,4.306289987023693,12.152867899960748,0.0
Grey Plover,1,Yanis,2011-08-16,11.268965285496307,6.500060088679391,21.382300271396833,25.0
Grey Plover,1,114001,2012-10-29,4.049153344215732,0.5922046373198631,0.7168827160875325,0.0
Grey Plover,1,Magnus,2012-06-07,484.4969578342826,6.922335698173988,7.4818113457406685,0.0
Grey Plover,1,Yanis,2011-05-22,158.522894433934,10.169156596197768,48.404771785986334,20.0
Grey Plover,1,113999,2012-12-31,21.76761736913115,20.450589382924385,175.15214337988442,20.0
Grey Plover,1,Yanis,2013-06-26,192.1778075906472,39.49441099901683,200.0,35.714285714285715
Grey Plover,1,Emma,2012-12-01,10.606010515402097,0.8718075565376715,1.504063738449708,0.0
Grey Plover,1,113999,2013-01-19,18.53064574079587,1.4657488752748384,3.440530162335369,0.0
Grey Plover,1,113999,2012-08-02,30.75049251271159,5.733921889725435,20.90754373328195,9.090909090909092
Grey Plover,1,113999,2012-09-16,13.624431130839207,1.732290547708926,4.395401075890628,0.0
Grey Plover,1,Emma,2012-03-28,30.983327615833474,17.401886624317154,49.989028003716655,33.33333333333333
Grey Plover,1,Alba,2012-02-01,60.10742244355011,9.085574745360631,18.185294319445084,25.0
