longitude,latitude,week,abundance,species,species_id
-45.23,-38.93,2023-01-04,0.533,Upland Sandpiper,3
-45.23,-39.12,2023-01-04,0.364,Upland Sandpiper,3
-44.26,-35.25,2023-01-04,0.363,Upland Sandpiper,3
-45.23,-35.06,2023-01-04,0.327,Upland Sandpiper,3
-44.02,-35.06,2023-01-04,0.325,Upland Sandpiper,3
-44.75,-35.25,2023-01-04,0.319,Upland Sandpiper,3
-44.75,-34.86,2023-01-04,0.315,Upland Sandpiper,3
-44.51,-35.25,2023-01-04,0.313,Upland Sandpiper,3
-44.75,-35.45,2023-01-04,0.309,Upland Sandpiper,3
-44.02,-35.25,2023-01-04,0.306,Upland Sandpiper,3
-45.48,-35.06,2023-01-04,0.304,Upland Sandpiper,3
-45.23,-35.25,2023-01-04,0.303,Upland Sandpiper,3
-44.99,-35.25,2023-01-04,0.303,Upland Sandpiper,3
-44.99,-34.86,2023-01-04,0.297,Upland Sandpiper,3
-45.48,-38.74,2023-01-04,0.292,Upland Sandpiper,3
-44.26,-35.06,2023-01-04,0.285,Upland Sandpiper,3
-45.23,-38.93,2023-01-11,0.555,Upland Sandpiper,3
-45.48,-38.74,2023-01-11,0.38,Upland Sandpiper,3
-45.23,-39.12,2023-01-11,0.345,Upland Sandpiper,3
-44.26,-35.25,2023-01-11,0.277,Upland Sandpiper,3
-45.23,-38.93,2023-01-18,0.492,Upland Sandpiper,3
-44.26,-35.25,2023-01-18,0.41,Upland Sandpiper,3
-45.48,-38.74,2023-01-18,0.405,Upland Sandpiper,3
-44.51,-35.25,2023-01-18,0.359,Upland Sandpiper,3
-44.99,-35.25,2023-01-18,0.349,Upland Sandpiper,3
-44.75,-35.25,2023-01-18,0.347,Upland Sandpiper,3
-45.23,-35.06,2023-01-18,0.33,Upland Sandpiper,3
-45.23,-35.25,2023-01-18,0.316,Upland Sandpiper,3
-44.75,-35.45,2023-01-18,0.307,Upland Sandpiper,3
-44.02,-35.06,2023-01-18,0.292,Upland Sandpiper,3
-44.75,-34.86,2023-01-18,0.278,Upland Sandpiper,3
-44.26,-35.25,2023-01-25,0.851,Upland Sandpiper,3
-44.75,-35.25,2023-01-25,0.742,Upland Sandpiper,3
-44.99,-35.25,2023-01-25,0.737,Upland Sandpiper,3
-44.51,-35.25,2023-01-25,0.734,Upland Sandpiper,3
-45.23,-35.06,2023-01-25,0.706,Upland Sandpiper,3
-45.23,-35.25,2023-01-25,0.68,Upland Sandpiper,3
-45.23,-38.93,2023-01-25,0.647,Upland Sandpiper,3
-44.02,-35.06,2023-01-25,0.64,Upland Sandpiper,3
-44.75,-35.45,2023-01-25,0.61,Upland Sandpiper,3
-45.48,-35.25,2023-01-25,0.573,Upland Sandpiper,3
-45.48,-38.74,2023-01-25,0.572,Upland Sandpiper,3
-44.75,-34.86,2023-01-25,0.564,Upland Sandpiper,3
-45.48,-35.06,2023-01-25,0.558,Upland Sandpiper,3
-44.99,-35.06,2023-01-25,0.553,Upland Sandpiper,3
-44.51,-35.45,2023-01-25,0.493,Upland Sandpiper,3
-44.02,-35.25,2023-01-25,0.482,Upland Sandpiper,3
-44.99,-35.45,2023-01-25,0.465,Upland Sandpiper,3
-44.26,-35.06,2023-01-25,0.447,Upland Sandpiper,3
-44.99,-34.86,2023-01-25,0.44,Upland Sandpiper,3
-44.51,-35.06,2023-01-25,0.402,Upland Sandpiper,3
-44.75,-35.06,2023-01-25,0.4,Upland Sandpiper,3
-45.72,-35.06,2023-01-25,0.366,Upland Sandpiper,3
-43.78,-35.65,2023-01-25,0.358,Upland Sandpiper,3
-45.48,-38.17,2023-01-25,0.353,Upland Sandpiper,3
-45.23,-34.86,2023-01-25,0.348,Upland Sandpiper,3
-45.23,-35.45,2023-01-25,0.343,Upland Sandpiper,3
-43.78,-35.06,2023-01-25,0.341,Upland Sandpiper,3
-44.02,-35.45,2023-01-25,0.327,Upland Sandpiper,3
-44.26,-35.45,2023-01-25,0.326,Upland Sandpiper,3
-45.48,-37.98,2023-01-25,0.326,Upland Sandpiper,3
-45.72,-35.25,2023-01-25,0.312,Upland Sandpiper,3
-45.23,-38.36,2023-01-25,0.283,Upland Sandpiper,3
-43.78,-35.25,2023-01-25,0.278,Upland Sandpiper,3
-45.23,-39.12,2023-01-25,0.277,Upland Sandpiper,3
-44.26,-35.25,2023-02-01,1.714,Upland Sandpiper,3
-44.51,-35.25,2023-02-01,1.453,Upland Sandpiper,3
-44.75,-35.25,2023-02-01,1.422,Upland Sandpiper,3
-45.23,-35.06,2023-02-01,1.42,Upland Sandpiper,3
-44.99,-35.25,2023-02-01,1.415,Upland Sandpiper,3
-45.23,-35.25,2023-02-01,1.327,Upland Sandpiper,3
-44.02,-35.06,2023-02-01,1.282,Upland Sandpiper,3
-44.75,-34.86,2023-02-01,1.186,Upland Sandpiper,3
-44.75,-35.45,2023-02-01,1.13,Upland Sandpiper,3
-45.48,-35.25,2023-02-01,1.125,Upland Sandpiper,3
-45.48,-35.06,2023-02-01,1.118,Upland Sandpiper,3
-44.99,-35.06,2023-02-01,1.105,Upland Sandpiper,3
-44.02,-35.25,2023-02-01,1.001,Upland Sandpiper,3
-44.26,-35.06,2023-02-01,0.973,Upland Sandpiper,3
-45.23,-38.93,2023-02-01,0.951,Upland Sandpiper,3
-44.51,-35.45,2023-02-01,0.935,Upland Sandpiper,3
-45.48,-38.74,2023-02-01,0.922,Upland Sandpiper,3
-44.99,-34.86,2023-02-01,0.91,Upland Sandpiper,3
-44.99,-35.45,2023-02-01,0.886,Upland Sandpiper,3
-44.51,-35.06,2023-02-01,0.879,Upland Sandpiper,3
-44.75,-35.06,2023-02-01,0.775,Upland Sandpiper,3
-45.72,-35.06,2023-02-01,0.756,Upland Sandpiper,3
-43.78,-35.06,2023-02-01,0.754,Upland Sandpiper,3
-45.23,-34.86,2023-02-01,0.746,Upland Sandpiper,3
-43.78,-35.65,2023-02-01,0.699,Upland Sandpiper,3
-45.23,-35.45,2023-02-01,0.687,Upland Sandpiper,3
-45.72,-35.25,2023-02-01,0.687,Upland Sandpiper,3
-44.26,-35.45,2023-02-01,0.674,Upland Sandpiper,3
-44.02,-35.45,2023-02-01,0.663,Upland Sandpiper,3
-43.78,-35.25,2023-02-01,0.581,Upland Sandpiper,3
-45.48,-35.45,2023-02-01,0.547,Upland Sandpiper,3
-45.48,-38.17,2023-02-01,0.537,Upland Sandpiper,3
-45.48,-37.98,2023-02-01,0.532,Upland Sandpiper,3
-45.48,-34.86,2023-02-01,0.5,Upland Sandpiper,3
-43.78,-35.45,2023-02-01,0.485,Upland Sandpiper,3
-44.02,-35.65,2023-02-01,0.483,Upland Sandpiper,3
-45.23,-38.55,2023-02-01,0.463,Upland Sandpiper,3
-45.23,-38.36,2023-02-01,0.429,Upland Sandpiper,3
-45.96,-35.25,2023-02-01,0.427,Upland Sandpiper,3
-45.96,-35.06,2023-02-01,0.427,Upland Sandpiper,3
-43.78,-35.85,2023-02-01,0.417,Upland Sandpiper,3
-45.23,-38.74,2023-02-01,0.401,Upland Sandpiper,3
-45.23,-39.12,2023-02-01,0.399,Upland Sandpiper,3
-43.54,-35.45,2023-02-01,0.353,Upland Sandpiper,3
-43.29,-35.06,2023-02-01,0.346,Upland Sandpiper,3
-44.99,-35.65,2023-02-01,0.317,Upland Sandpiper,3
-45.72,-35.45,2023-02-01,0.301,Upland Sandpiper,3
-44.26,-35.25,2023-02-08,2.018,Upland Sandpiper,3
-44.51,-35.25,2023-02-08,1.721,Upland Sandpiper,3
-45.23,-35.06,2023-02-08,1.674,Upland Sandpiper,3
-44.75,-35.25,2023-02-08,1.67,Upland Sandpiper,3
-44.99,-35.25,2023-02-08,1.666,Upland Sandpiper,3
-45.23,-35.25,2023-02-08,1.584,Upland Sandpiper,3
-44.02,-35.06,2023-02-08,1.578,Upland Sandpiper,3
-44.75,-34.86,2023-02-08,1.438,Upland Sandpiper,3
-44.75,-35.45,2023-02-08,1.379,Upland Sandpiper,3
-45.48,-35.06,2023-02-08,1.354,Upland Sandpiper,3
-45.48,-35.25,2023-02-08,1.328,Upland Sandpiper,3
-45.23,-38.93,2023-02-08,1.321,Upland Sandpiper,3
-44.99,-35.06,2023-02-08,1.3,Upland Sandpiper,3
-44.02,-35.25,2023-02-08,1.278,Upland Sandpiper,3
-45.48,-38.74,2023-02-08,1.237,Upland Sandpiper,3
-44.26,-35.06,2023-02-08,1.211,Upland Sandpiper,3
-44.51,-35.45,2023-02-08,1.189,Upland Sandpiper,3
-44.99,-35.45,2023-02-08,1.159,Upland Sandpiper,3
-44.99,-34.86,2023-02-08,1.137,Upland Sandpiper,3
-44.51,-35.06,2023-02-08,1.077,Upland Sandpiper,3
-43.78,-35.06,2023-02-08,1.034,Upland Sandpiper,3
-45.23,-34.86,2023-02-08,0.956,Upland Sandpiper,3
-44.75,-35.06,2023-02-08,0.946,Upland Sandpiper,3
-45.72,-35.06,2023-02-08,0.924,Upland Sandpiper,3
-45.23,-35.45,2023-02-08,0.906,Upland Sandpiper,3
-43.78,-35.65,2023-02-08,0.901,Upland Sandpiper,3
