longitude,latitude,week,abundance,species,species_id
-58.82,38.17,2023-01-04,59.211,Grey Plover,1
-71.67,32.02,2023-01-04,38.948,Grey Plover,1
-71.43,32.02,2023-01-04,29.972,Grey Plover,1
-78.95,29.73,2023-01-04,26.808,Grey Plover,1
-71.67,31.82,2023-01-04,22.059,Grey Plover,1
-79.19,29.52,2023-01-04,17.807,Grey Plover,1
-79.43,28.89,2023-01-04,17.721,Grey Plover,1
-64.88,33.25,2023-01-04,16.733,Grey Plover,1
14.43,41.7,2023-01-04,13.237,Grey Plover,1
14.19,41.88,2023-01-04,13.163,Grey Plover,1
-59.06,38.17,2023-01-04,11.908,Grey Plover,1
-78.95,29.95,2023-01-04,11.897,Grey Plover,1
-62.94,34.66,2023-01-04,11.887,Grey Plover,1
-79.43,29.1,2023-01-04,11.353,Grey Plover,1
14.19,40.24,2023-01-04,10.422,Grey Plover,1
-79.43,29.31,2023-01-04,10.205,Grey Plover,1
12.73,42.42,2023-01-04,9.372,Grey Plover,1
14.67,40.79,2023-01-04,9.216,Grey Plover,1
-79.43,28.46,2023-01-04,8.688,Grey Plover,1
14.67,41.16,2023-01-04,8.137,Grey Plover,1
-64.88,33.45,2023-01-04,7.964,Grey Plover,1
-79.43,28.68,2023-01-04,7.91,Grey Plover,1
13.7,40.97,2023-01-04,7.066,Grey Plover,1
-79.68,28.89,2023-01-04,6.972,Grey Plover,1
-90.59,45.05,2023-01-04,6.801,Grey Plover,1
-93.26,37.4,2023-01-04,6.771,Grey Plover,1
12.98,40.61,2023-01-04,6.664,Grey Plover,1
12.49,42.42,2023-01-04,6.565,Grey Plover,1
14.67,41.7,2023-01-04,6.469,Grey Plover,1
-79.43,29.52,2023-01-04,6.293,Grey Plover,1
13.95,42.06,2023-01-04,6.279,Grey Plover,1
14.19,40.61,2023-01-04,6.254,Grey Plover,1
-6.67,40.97,2023-01-04,6.221,Grey Plover,1
-93.5,37.21,2023-01-04,6.167,Grey Plover,1
-58.57,38.36,2023-01-04,6.157,Grey Plover,1
14.67,41.52,2023-01-04,6.118,Grey Plover,1
14.67,40.97,2023-01-04,5.428,Grey Plover,1
13.95,40.79,2023-01-04,5.363,Grey Plover,1
-58.82,38.36,2023-01-04,5.289,Grey Plover,1
-62.7,34.86,2023-01-04,5.212,Grey Plover,1
-59.54,23.89,2023-01-04,5.208,Grey Plover,1
-91.32,33.25,2023-01-04,5.193,Grey Plover,1
-93.26,37.21,2023-01-04,5.178,Grey Plover,1
-65.37,32.84,2023-01-04,5.082,Grey Plover,1
-79.19,29.73,2023-01-04,4.992,Grey Plover,1
-78.71,30.16,2023-01-04,4.864,Grey Plover,1
-74.34,14.75,2023-01-04,4.788,Grey Plover,1
-59.79,23.67,2023-01-04,4.784,Grey Plover,1
12.25,41.52,2023-01-04,4.749,Grey Plover,1
-80.16,18.24,2023-01-04,4.663,Grey Plover,1
17.34,40.61,2023-01-04,4.636,Grey Plover,1
-91.8,34.86,2023-01-04,4.636,Grey Plover,1
14.92,40.24,2023-01-04,4.538,Grey Plover,1
-73.37,31.2,2023-01-04,4.524,Grey Plover,1
104.9,32.84,2023-01-04,4.495,Grey Plover,1
14.67,41.34,2023-01-04,4.381,Grey Plover,1
13.7,40.24,2023-01-04,4.318,Grey Plover,1
-72.88,31.2,2023-01-04,4.24,Grey Plover,1
-88.17,46.74,2023-01-04,4.213,Grey Plover,1
-65.12,33.25,2023-01-04,4.203,Grey Plover,1
12.01,42.6,2023-01-04,4.142,Grey Plover,1
9.34,43.84,2023-01-04,4.105,Grey Plover,1
-79.92,18.24,2023-01-04,4.096,Grey Plover,1
-94.47,38.93,2023-01-04,4.031,Grey Plover,1
12.98,42.42,2023-01-04,4.0,Grey Plover,1
-93.5,37.4,2023-01-04,3.974,Grey Plover,1
11.76,42.6,2023-01-04,3.912,Grey Plover,1
16.37,39.12,2023-01-04,3.877,Grey Plover,1
-79.43,28.25,2023-01-04,3.83,Grey Plover,1
0.12,49.33,2023-01-04,3.813,Grey Plover,1
12.25,42.6,2023-01-04,3.778,Grey Plover,1
10.07,43.84,2023-01-04,3.763,Grey Plover,1
-0.61,47.73,2023-01-04,3.76,Grey Plover,1
-69.49,-6.41,2023-01-04,3.752,Grey Plover,1
-71.43,32.23,2023-01-04,3.685,Grey Plover,1
10.55,43.66,2023-01-04,3.678,Grey Plover,1
0.61,48.21,2023-01-04,3.677,Grey Plover,1
9.34,44.01,2023-01-04,3.672,Grey Plover,1
10.55,43.84,2023-01-04,3.63,Grey Plover,1
11.76,42.06,2023-01-04,3.608,Grey Plover,1
-79.68,18.24,2023-01-04,3.58,Grey Plover,1
-71.91,32.02,2023-01-04,3.552,Grey Plover,1
11.04,43.31,2023-01-04,3.532,Grey Plover,1
-65.37,31.82,2023-01-04,3.525,Grey Plover,1
-71.67,32.23,2023-01-04,3.523,Grey Plover,1
10.79,43.66,2023-01-04,3.517,Grey Plover,1
-64.64,33.65,2023-01-04,3.5,Grey Plover,1
11.28,43.13,2023-01-04,3.496,Grey Plover,1
11.04,43.49,2023-01-04,3.493,Grey Plover,1
0.85,48.38,2023-01-04,3.455,Grey Plover,1
-1.58,45.39,2023-01-04,3.443,Grey Plover,1
-69.73,-5.69,2023-01-04,3.412,Grey Plover,1
10.79,43.49,2023-01-04,3.41,Grey Plover,1
-68.03,31.82,2023-01-04,3.404,Grey Plover,1
13.22,41.16,2023-01-04,3.329,Grey Plover,1
14.67,40.61,2023-01-04,3.329,Grey Plover,1
13.22,42.42,2023-01-04,3.288,Grey Plover,1
17.34,40.79,2023-01-04,3.285,Grey Plover,1
-60.27,36.04,2023-01-04,3.268,Grey Plover,1
9.1,44.19,2023-01-04,3.248,Grey Plover,1
-69.97,-5.45,2023-01-04,3.237,Grey Plover,1
-92.77,30.16,2023-01-04,3.21,Grey Plover,1
5.94,49.96,2023-01-04,3.205,Grey Plover,1
-58.57,38.55,2023-01-04,3.158,Grey Plover,1
-72.4,31.2,2023-01-04,3.157,Grey Plover,1
9.58,44.36,2023-01-04,3.153,Grey Plover,1
-71.91,31.41,2023-01-04,3.147,Grey Plover,1
10.79,43.84,2023-01-04,3.135,Grey Plover,1
-72.64,31.2,2023-01-04,3.12,Grey Plover,1
0.61,48.38,2023-01-04,3.099,Grey Plover,1
-2.06,46.57,2023-01-04,3.087,Grey Plover,1
-64.4,28.89,2023-01-04,3.064,Grey Plover,1
-93.74,39.12,2023-01-04,3.053,Grey Plover,1
12.73,41.34,2023-01-04,3.02,Grey Plover,1
-74.1,14.75,2023-01-04,3.006,Grey Plover,1
-69.0,-7.62,2023-01-04,2.978,Grey Plover,1
-69.73,-2.55,2023-01-04,2.969,Grey Plover,1
-79.19,29.95,2023-01-04,2.942,Grey Plover,1
-78.22,30.36,2023-01-04,2.899,Grey Plover,1
-75.55,31.61,2023-01-04,2.882,Grey Plover,1
-0.85,44.71,2023-01-04,2.877,Grey Plover,1
0.12,49.02,2023-01-04,2.844,Grey Plover,1
12.25,42.78,2023-01-04,2.843,Grey Plover,1
-70.94,32.23,2023-01-04,2.835,Grey Plover,1
-79.68,27.82,2023-01-04,2.785,Grey Plover,1
-1.09,44.88,2023-01-04,2.773,Grey Plover,1
-2.3,49.33,2023-01-04,2.773,Grey Plover,1
11.52,43.13,2023-01-04,2.77,Grey Plover,1
12.73,40.24,2023-01-04,2.739,Grey Plover,1
-77.98,30.57,2023-01-04,2.722,Grey Plover,1
