species,species_id,week_str,week_num,week_label,total_abundance,abundance_norm
Barn Swallow,2,2023-01-04,1,04 Jan,11211.844,9.58
Barn Swallow,2,2023-01-11,2,11 Jan,7773.614,6.64
Barn Swallow,2,2023-01-18,3,18 Jan,21580.011,18.44
Barn Swallow,2,2023-01-25,4,25 Jan,20876.948,17.84
Barn Swallow,2,2023-02-01,5,01 Feb,37530.975000000006,32.07
Barn Swallow,2,2023-02-08,6,08 Feb,13030.594,11.13
Barn Swallow,2,2023-02-15,7,15 Feb,15733.848999999998,13.44
Barn Swallow,2,2023-02-22,8,22 Feb,23418.770000000004,20.01
Barn Swallow,2,2023-03-01,9,01 Mar,13094.016,11.19
Barn Swallow,2,2023-03-08,10,08 Mar,11531.212,9.85
Barn Swallow,2,2023-03-15,11,15 Mar,9740.188,8.32
Barn Swallow,2,2023-03-22,12,22 Mar,8422.502,7.2
Barn Swallow,2,2023-03-29,13,29 Mar,5826.364,4.98
Barn Swallow,2,2023-04-05,14,05 Apr,6484.582,5.54
Barn Swallow,2,2023-04-12,15,12 Apr,8899.122,7.6
Barn Swallow,2,2023-04-19,16,19 Apr,9956.151000000002,8.51
Barn Swallow,2,2023-04-26,17,26 Apr,9860.61,8.42
Barn Swallow,2,2023-05-03,18,03 May,7166.990999999999,6.12
Barn Swallow,2,2023-05-10,19,10 May,4627.867,3.95
Barn Swallow,2,2023-05-17,20,17 May,4032.159,3.45
Barn Swallow,2,2023-05-24,21,24 May,2955.375,2.53
Barn Swallow,2,2023-05-31,22,31 May,2682.307,2.29
Barn Swallow,2,2023-06-07,23,07 Jun,2550.5420000000004,2.18
Barn Swallow,2,2023-06-14,24,14 Jun,2738.164,2.34
Barn Swallow,2,2023-06-21,25,21 Jun,3588.893,3.07
Barn Swallow,2,2023-06-28,26,28 Jun,4268.895,3.65
Barn Swallow,2,2023-07-05,27,05 Jul,10142.228,8.67
Barn Swallow,2,2023-07-12,28,12 Jul,22267.993,19.03
Barn Swallow,2,2023-07-19,29,19 Jul,27218.32,23.25
Barn Swallow,2,2023-07-26,30,26 Jul,40417.380000000005,34.53
Barn Swallow,2,2023-08-02,31,02 Aug,76755.42300000001,65.58
Barn Swallow,2,2023-08-09,32,09 Aug,57756.529,49.35
Barn Swallow,2,2023-08-16,33,16 Aug,117043.348,100.0
Barn Swallow,2,2023-08-23,34,23 Aug,83429.58,71.28
Barn Swallow,2,2023-08-30,35,30 Aug,40188.922,34.34
Barn Swallow,2,2023-09-06,36,06 Sep,28741.101,24.56
Barn Swallow,2,2023-09-13,37,13 Sep,38386.25200000001,32.8
Barn Swallow,2,2023-09-20,38,20 Sep,26427.370000000003,22.58
Barn Swallow,2,2023-09-27,39,27 Sep,20300.527,17.34
Barn Swallow,2,2023-10-04,40,04 Oct,16276.313,13.91
Barn Swallow,2,2023-10-11,41,11 Oct,37151.36200000001,31.74
Barn Swallow,2,2023-10-18,42,18 Oct,28992.29,24.77
Barn Swallow,2,2023-10-25,43,25 Oct,9352.739,7.99
Barn Swallow,2,2023-11-01,44,01 Nov,9673.489,8.26
Barn Swallow,2,2023-11-08,45,08 Nov,18685.319,15.96
Barn Swallow,2,2023-11-15,46,15 Nov,41536.318,35.49
Barn Swallow,2,2023-11-22,47,22 Nov,16647.36,14.22
Barn Swallow,2,2023-11-29,48,29 Nov,10022.31,8.56
Barn Swallow,2,2023-12-06,49,06 Dec,18945.502,16.19
Barn Swallow,2,2023-12-13,50,13 Dec,42987.697,36.73
Barn Swallow,2,2023-12-20,51,20 Dec,29475.238,25.18
Barn Swallow,2,2023-12-27,52,27 Dec,32658.703,27.9
Grey Plover,1,2023-01-04,1,04 Jan,1163.835,77.35
Grey Plover,1,2023-01-11,2,11 Jan,1107.558,73.61
Grey Plover,1,2023-01-18,3,18 Jan,1087.836,72.3
Grey Plover,1,2023-01-25,4,25 Jan,1097.785,72.96
Grey Plover,1,2023-02-01,5,01 Feb,1068.365,71.0
Grey Plover,1,2023-02-08,6,08 Feb,1007.829,66.98
Grey Plover,1,2023-02-15,7,15 Feb,902.825,60.0
Grey Plover,1,2023-02-22,8,22 Feb,859.7640000000001,57.14
Grey Plover,1,2023-03-01,9,01 Mar,797.1379999999999,52.98
Grey Plover,1,2023-03-08,10,08 Mar,795.58,52.87
Grey Plover,1,2023-03-15,11,15 Mar,815.2139999999999,54.18
Grey Plover,1,2023-03-22,12,22 Mar,881.22,58.57
Grey Plover,1,2023-03-29,13,29 Mar,857.0899999999999,56.96
Grey Plover,1,2023-04-05,14,05 Apr,816.436,54.26
Grey Plover,1,2023-04-12,15,12 Apr,770.3449999999998,51.2
Grey Plover,1,2023-04-19,16,19 Apr,815.195,54.18
Grey Plover,1,2023-04-26,17,26 Apr,838.976,55.76
Grey Plover,1,2023-05-03,18,03 May,887.005,58.95
Grey Plover,1,2023-05-10,19,10 May,965.971,64.2
Grey Plover,1,2023-05-17,20,17 May,1008.345,67.02
Grey Plover,1,2023-05-24,21,24 May,786.346,52.26
Grey Plover,1,2023-05-31,22,31 May,367.42599999999993,24.42
Grey Plover,1,2023-06-07,23,07 Jun,167.353,11.12
Grey Plover,1,2023-06-14,24,14 Jun,126.551,8.41
Grey Plover,1,2023-06-21,25,21 Jun,119.15,7.92
Grey Plover,1,2023-06-28,26,28 Jun,114.876,7.63
Grey Plover,1,2023-07-05,27,05 Jul,119.141,7.92
Grey Plover,1,2023-07-12,28,12 Jul,142.329,9.46
Grey Plover,1,2023-07-19,29,19 Jul,174.261,11.58
Grey Plover,1,2023-07-26,30,26 Jul,230.046,15.29
Grey Plover,1,2023-08-02,31,02 Aug,366.346,24.35
Grey Plover,1,2023-08-09,32,09 Aug,552.5740000000001,36.72
Grey Plover,1,2023-08-16,33,16 Aug,765.902,50.9
Grey Plover,1,2023-08-23,34,23 Aug,893.7779999999998,59.4
Grey Plover,1,2023-08-30,35,30 Aug,1171.276,77.84
Grey Plover,1,2023-09-06,36,06 Sep,1454.969,96.7
Grey Plover,1,2023-09-13,37,13 Sep,1160.85,77.15
Grey Plover,1,2023-09-20,38,20 Sep,1112.622,73.95
Grey Plover,1,2023-09-27,39,27 Sep,1504.648,100.0
Grey Plover,1,2023-10-04,40,04 Oct,1347.896,89.58
Grey Plover,1,2023-10-11,41,11 Oct,1291.266,85.82
Grey Plover,1,2023-10-18,42,18 Oct,1174.802,78.08
Grey Plover,1,2023-10-25,43,25 Oct,1011.442,67.22
Grey Plover,1,2023-11-01,44,01 Nov,882.566,58.66
Grey Plover,1,2023-11-08,45,08 Nov,778.996,51.77
Grey Plover,1,2023-11-15,46,15 Nov,931.448,61.9
Grey Plover,1,2023-11-22,47,22 Nov,882.4920000000001,58.65
Grey Plover,1,2023-11-29,48,29 Nov,871.636,57.93
Grey Plover,1,2023-12-06,49,06 Dec,766.818,50.96
Grey Plover,1,2023-12-13,50,13 Dec,731.28,48.6
Grey Plover,1,2023-12-20,51,20 Dec,756.075,50.25
Grey Plover,1,2023-12-27,52,27 Dec,803.512,53.4
Red Knot,4,2023-01-04,1,04 Jan,1217.46,44.51
Red Knot,4,2023-01-11,2,11 Jan,1273.839,46.57
Red Knot,4,2023-01-18,3,18 Jan,1469.7320000000002,53.73
Red Knot,4,2023-01-25,4,25 Jan,1603.667,58.63
Red Knot,4,2023-02-01,5,01 Feb,1546.2820000000002,56.53
Red Knot,4,2023-02-08,6,08 Feb,1411.532,51.6
Red Knot,4,2023-02-15,7,15 Feb,1159.957,42.41
Red Knot,4,2023-02-22,8,22 Feb,1128.562,41.26
Red Knot,4,2023-03-01,9,01 Mar,1052.324,38.47
Red Knot,4,2023-03-08,10,08 Mar,997.014,36.45
Red Knot,4,2023-03-15,11,15 Mar,1041.194,38.06
Red Knot,4,2023-03-22,12,22 Mar,981.449,35.88
Red Knot,4,2023-03-29,13,29 Mar,928.05,33.93
Red Knot,4,2023-04-05,14,05 Apr,993.5,36.32
Red Knot,4,2023-04-12,15,12 Apr,982.477,35.92
Red Knot,4,2023-04-19,16,19 Apr,1202.193,43.95
Red Knot,4,2023-04-26,17,26 Apr,1208.881,44.19
Red Knot,4,2023-05-03,18,03 May,1090.228,39.86
Red Knot,4,2023-05-10,19,10 May,1036.297,37.88
Red Knot,4,2023-05-17,20,17 May,991.546,36.25
Red Knot,4,2023-05-24,21,24 May,672.556,24.59
Red Knot,4,2023-05-31,22,31 May,458.617,16.77
Red Knot,4,2023-06-07,23,07 Jun,265.00100000000003,9.69
Red Knot,4,2023-06-14,24,14 Jun,212.706,7.78
Red Knot,4,2023-06-21,25,21 Jun,181.82,6.65
Red Knot,4,2023-06-28,26,28 Jun,169.56700000000004,6.2
Red Knot,4,2023-07-05,27,05 Jul,198.20200000000003,7.25
Red Knot,4,2023-07-12,28,12 Jul,255.912,9.36
Red Knot,4,2023-07-19,29,19 Jul,421.829,15.42
Red Knot,4,2023-07-26,30,26 Jul,546.822,19.99
Red Knot,4,2023-08-02,31,02 Aug,686.0,25.08
Red Knot,4,2023-08-09,32,09 Aug,645.0930000000001,23.58
Red Knot,4,2023-08-16,33,16 Aug,777.6389999999999,28.43
Red Knot,4,2023-08-23,34,23 Aug,937.216,34.26
Red Knot,4,2023-08-30,35,30 Aug,1196.0949999999998,43.73
Red Knot,4,2023-09-06,36,06 Sep,1484.935,54.29
Red Knot,4,2023-09-13,37,13 Sep,1569.752,57.39
Red Knot,4,2023-09-20,38,20 Sep,1723.752,63.02
Red Knot,4,2023-09-27,39,27 Sep,2001.6400000000003,73.18
Red Knot,4,2023-10-04,40,04 Oct,2194.124,80.21
