species,species_id,week,weighted_lat,total_abundance,n_cells,month_num,week_num,week_str
Barn Swallow,2,2023-01-04,11.56,11211.844,300.0,1,1,2023-01-04
Barn Swallow,2,2023-01-11,13.37,7773.6140000000005,300.0,1,2,2023-01-11
Barn Swallow,2,2023-01-18,12.25,21580.011,300.0,1,3,2023-01-18
Barn Swallow,2,2023-01-25,10.09,20876.948,300.0,1,4,2023-01-25
Barn Swallow,2,2023-02-01,7.62,37530.975000000006,300.0,2,5,2023-02-01
Barn Swallow,2,2023-02-08,9.11,13030.594000000001,300.0,2,6,2023-02-08
Barn Swallow,2,2023-02-15,9.14,15733.848999999998,300.0,2,7,2023-02-15
Barn Swallow,2,2023-02-22,8.93,23418.770000000004,300.0,2,8,2023-02-22
Barn Swallow,2,2023-03-01,11.0,13094.016,300.0,3,9,2023-03-01
Barn Swallow,2,2023-03-08,12.31,11531.212,300.0,3,10,2023-03-08
Barn Swallow,2,2023-03-15,13.99,9740.188,300.0,3,11,2023-03-15
Barn Swallow,2,2023-03-22,16.52,8422.502,300.0,3,12,2023-03-22
Barn Swallow,2,2023-03-29,24.71,5826.364,300.0,3,13,2023-03-29
Barn Swallow,2,2023-04-05,27.48,6484.582,300.0,4,14,2023-04-05
Barn Swallow,2,2023-04-12,30.49,8899.122,300.0,4,15,2023-04-12
Barn Swallow,2,2023-04-19,31.11,9956.151000000002,300.0,4,16,2023-04-19
Barn Swallow,2,2023-04-26,31.07,9860.609999999999,300.0,4,17,2023-04-26
Barn Swallow,2,2023-05-03,32.66,7166.990999999999,300.0,5,18,2023-05-03
Barn Swallow,2,2023-05-10,39.47,4627.867,300.0,5,19,2023-05-10
Barn Swallow,2,2023-05-17,42.6,4032.159,300.0,5,20,2023-05-17
Barn Swallow,2,2023-05-24,40.69,2955.375,300.0,5,21,2023-05-24
Barn Swallow,2,2023-05-31,37.9,2682.307,300.0,5,22,2023-05-31
Barn Swallow,2,2023-06-07,35.97,2550.5420000000004,300.0,6,23,2023-06-07
Barn Swallow,2,2023-06-14,37.09,2738.164,300.0,6,24,2023-06-14
Barn Swallow,2,2023-06-21,36.96,3588.8929999999996,300.0,6,25,2023-06-21
Barn Swallow,2,2023-06-28,37.12,4268.895,300.0,6,26,2023-06-28
Barn Swallow,2,2023-07-05,36.66,10142.228,300.0,7,27,2023-07-05
Barn Swallow,2,2023-07-12,36.59,22267.993,300.0,7,28,2023-07-12
Barn Swallow,2,2023-07-19,36.2,27218.32,300.0,7,29,2023-07-19
Barn Swallow,2,2023-07-26,31.76,40417.380000000005,300.0,7,30,2023-07-26
Barn Swallow,2,2023-08-02,33.34,76755.42300000001,300.0,8,31,2023-08-02
Barn Swallow,2,2023-08-09,35.34,57756.529,300.0,8,32,2023-08-09
Barn Swallow,2,2023-08-16,36.89,117043.348,300.0,8,33,2023-08-16
Barn Swallow,2,2023-08-23,37.0,83429.58,300.0,8,34,2023-08-23
Barn Swallow,2,2023-08-30,33.3,40188.922,300.0,8,35,2023-08-30
Barn Swallow,2,2023-09-06,25.04,28741.101,300.0,9,36,2023-09-06
Barn Swallow,2,2023-09-13,20.62,38386.25200000001,300.0,9,37,2023-09-13
Barn Swallow,2,2023-09-20,31.12,26427.370000000003,300.0,9,38,2023-09-20
Barn Swallow,2,2023-09-27,29.82,20300.527,300.0,9,39,2023-09-27
Barn Swallow,2,2023-10-04,24.52,16276.313,300.0,10,40,2023-10-04
Barn Swallow,2,2023-10-11,13.31,37151.36200000001,300.0,10,41,2023-10-11
Barn Swallow,2,2023-10-18,11.51,28992.29,300.0,10,42,2023-10-18
Barn Swallow,2,2023-10-25,14.8,9352.739,300.0,10,43,2023-10-25
Barn Swallow,2,2023-11-01,14.89,9673.489,300.0,11,44,2023-11-01
