species,month,median_lat,mean_lat,q25_lat,q75_lat,n_fixes,month_name
Barn Swallow,1,-38.25,-38.08,-38.25,-38.25,103,Jan
Barn Swallow,2,-37.35,-35.33,-38.25,-33.3,293,Feb
Barn Swallow,3,-21.6,-22.02,-27.45,-15.75,363,Mar
Barn Swallow,4,-6.3,-7.03,-12.71,-3.04,360,Apr
Barn Swallow,5,-4.95,-5.24,-9.45,-1.8,371,May
Barn Swallow,6,-3.15,-4.91,-9.0,-1.35,359,Jun
Barn Swallow,7,-4.5,-4.92,-9.0,-1.35,367,Jul
Barn Swallow,8,-4.05,-4.8,-9.0,-1.35,371,Aug
Barn Swallow,9,-12.82,-12.13,-20.7,-1.8,342,Sep
Barn Swallow,10,-33.3,-28.17,-38.25,-25.2,71,Oct
Grey Plover,1,47.55,36.02,11.61,48.85,64,Jan
Grey Plover,2,47.56,35.96,11.61,48.83,74,Feb
Grey Plover,3,48.85,48.02,47.56,53.28,80,Mar
Grey Plover,4,53.72,53.54,53.37,53.75,188,Apr
Grey Plover,5,53.73,54.57,53.63,53.78,330,May
Grey Plover,6,72.56,70.35,69.07,74.64,671,Jun
Grey Plover,7,73.69,71.83,70.4,74.69,712,Jul
Grey Plover,8,58.52,61.29,53.72,68.85,394,Aug
Grey Plover,9,53.45,50.39,48.98,53.79,193,Sep
Grey Plover,10,48.84,41.81,36.99,53.76,144,Oct
Grey Plover,11,37.0,36.88,11.62,53.71,91,Nov
Grey Plover,12,47.56,33.05,11.6,48.84,59,Dec
Red Knot,3,-10.12,-9.52,-11.08,-5.39,5,Mar
Red Knot,4,21.5,17.89,16.8,23.27,5,Apr
Red Knot,5,36.16,40.98,35.79,40.19,9,May
Red Knot,7,47.61,46.42,36.95,52.89,7,Jul
Red Knot,8,37.2,31.33,32.26,40.16,9,Aug
Red Knot,9,-12.03,-13.4,-20.43,-6.04,8,Sep
Red Knot,10,-40.17,-36.54,-40.47,-33.91,8,Oct
Upland Sandpiper,1,-13.25,-21.02,-35.31,-12.36,11,Jan
Upland Sandpiper,2,-12.97,-18.22,-18.29,-12.52,12,Feb
Upland Sandpiper,3,-13.3,-20.79,-33.16,-12.66,18,Mar
Upland Sandpiper,4,13.61,13.17,5.3,27.5,14,Apr
Upland Sandpiper,7,35.73,37.78,34.3,39.2,4,Jul
Upland Sandpiper,8,34.37,33.09,31.6,35.56,7,Aug
Upland Sandpiper,9,-0.06,3.64,-13.48,20.58,13,Sep
Upland Sandpiper,10,-13.2,-17.7,-22.09,-12.29,17,Oct
Upland Sandpiper,11,-18.06,-20.42,-25.79,-12.13,12,Nov
Upland Sandpiper,12,-13.12,-21.19,-34.09,-12.28,10,Dec
