country,country_code,continent,season,season_label,season_pop_pct,peak_pop_pct,days_occupied,peak_week
Albania,ALB,Europe,postbreeding_migration,Post-breeding Migration,0.006,0.028,49,2023-09-20
Aland,ALD,Europe,postbreeding_migration,Post-breeding Migration,0.046,0.269,84,2023-07-19
Aland,ALD,Europe,prebreeding_migration,Pre-breeding Migration,0.021,0.131,21,2023-05-31
Argentina,ARG,South America,nonbreeding,Non-breeding,3.498,4.678,63,2023-02-08
Argentina,ARG,South America,postbreeding_migration,Post-breeding Migration,0.953,4.03,35,2023-12-20
Argentina,ARG,South America,prebreeding_migration,Pre-breeding Migration,1.522,14.684,63,2023-03-22
Australia,AUS,Oceania,breeding,Breeding,11.002,21.728,28,2023-07-05
Australia,AUS,Oceania,nonbreeding,Non-breeding,4.68,7.262,63,2023-02-22
Australia,AUS,Oceania,postbreeding_migration,Post-breeding Migration,6.59,23.302,154,2023-11-08
Australia,AUS,Oceania,prebreeding_migration,Pre-breeding Migration,2.473,20.22,84,2023-04-05
Belgium,BEL,Europe,nonbreeding,Non-breeding,0.071,0.112,63,2023-01-18
Belgium,BEL,Europe,postbreeding_migration,Post-breeding Migration,0.02,0.066,161,2023-11-29
Belgium,BEL,Europe,prebreeding_migration,Pre-breeding Migration,0.004,0.071,105,2023-03-01
Bulgaria,BGR,Europe,nonbreeding,Non-breeding,0.01,0.025,42,2023-01-18
Belarus,BLR,Europe,postbreeding_migration,Post-breeding Migration,0.005,0.007,14,2023-09-06
Brazil,BRA,South America,postbreeding_migration,Post-breeding Migration,0.337,1.636,49,2023-09-20
Brazil,BRA,South America,prebreeding_migration,Pre-breeding Migration,0.34,6.822,42,2023-04-05
Canada,CAN,North America,breeding,Breeding,20.813,23.201,28,2023-06-28
Canada,CAN,North America,postbreeding_migration,Post-breeding Migration,10.433,20.268,112,2023-07-26
Canada,CAN,North America,prebreeding_migration,Pre-breeding Migration,0.044,0.357,14,2023-06-07
Chile,CHL,South America,nonbreeding,Non-breeding,2.83,4.94,63,2023-02-08
Chile,CHL,South America,postbreeding_migration,Post-breeding Migration,0.737,3.448,35,2023-12-20
Chile,CHL,South America,prebreeding_migration,Pre-breeding Migration,0.038,0.406,35,2023-03-01
China,CHN,Asia,postbreeding_migration,Post-breeding Migration,13.375,44.713,70,2023-08-09
China,CHN,Asia,prebreeding_migration,Pre-breeding Migration,79.317,89.772,70,2023-05-31
Cuba,CUB,North America,nonbreeding,Non-breeding,0.036,0.224,42,2023-02-22
Cuba,CUB,North America,prebreeding_migration,Pre-breeding Migration,0.011,0.438,42,2023-03-01
Germany,DEU,Europe,breeding,Breeding,8.99,18.122,28,2023-06-14
Germany,DEU,Europe,nonbreeding,Non-breeding,0.27,0.55,63,2023-12-27
Germany,DEU,Europe,postbreeding_migration,Post-breeding Migration,4.862,17.944,147,2023-10-18
Germany,DEU,Europe,prebreeding_migration,Pre-breeding Migration,1.117,14.363,70,2023-06-07
Denmark,DNK,Europe,breeding,Breeding,3.709,14.55,28,2023-06-14
Denmark,DNK,Europe,nonbreeding,Non-breeding,0.009,0.052,21,2023-01-04
Denmark,DNK,Europe,postbreeding_migration,Post-breeding Migration,0.825,6.408,147,2023-07-19
Denmark,DNK,Europe,prebreeding_migration,Pre-breeding Migration,0.742,14.241,63,2023-06-07
England,ENG,Europe,breeding,Breeding,24.701,31.85,28,2023-07-05
England,ENG,Europe,nonbreeding,Non-breeding,42.746,52.604,63,2023-01-04
England,ENG,Europe,postbreeding_migration,Post-breeding Migration,36.213,71.434,168,2023-09-20
England,ENG,Europe,prebreeding_migration,Pre-breeding Migration,3.709,45.254,105,2023-03-01
Spain,ESP,Europe,breeding,Breeding,0.094,0.136,28,2023-06-14
