species,species_id,colour,region_name,region_code,continent_name,season,season_label,season_pop_pct,peak_pop_pct,range_days_occupation,max_week
Grey Plover,1,#e8a87c,Aruba,ABW,North America,breeding,Breeding,0.013,0.018,35,2023-07-12
Grey Plover,1,#e8a87c,Aruba,ABW,North America,nonbreeding,Non-breeding,0.017,0.028,98,2023-12-27
Grey Plover,1,#e8a87c,Anguilla,AIA,North America,breeding,Breeding,0.015,0.032,35,2023-06-14
Grey Plover,1,#e8a87c,Anguilla,AIA,North America,nonbreeding,Non-breeding,0.02,0.031,98,2023-12-27
Grey Plover,1,#e8a87c,Albania,ALB,Europe,nonbreeding,Non-breeding,0.347,1.197,98,2023-01-04
Grey Plover,1,#e8a87c,Albania,ALB,Europe,postbreeding_migration,Post-breeding Migration,0.063,0.316,126,2023-11-29
Grey Plover,1,#e8a87c,Albania,ALB,Europe,prebreeding_migration,Pre-breeding Migration,0.034,0.082,63,2023-03-15
Grey Plover,1,#e8a87c,Aland,ALD,Europe,postbreeding_migration,Post-breeding Migration,0.025,0.133,112,2023-07-26
Grey Plover,1,#e8a87c,Aland,ALD,Europe,prebreeding_migration,Pre-breeding Migration,0.045,0.439,35,2023-05-31
Grey Plover,1,#e8a87c,United Arab Emirates,ARE,Asia,breeding,Breeding,0.343,0.438,35,2023-07-05
Grey Plover,1,#e8a87c,United Arab Emirates,ARE,Asia,nonbreeding,Non-breeding,0.612,0.911,98,2023-12-13
Grey Plover,1,#e8a87c,United Arab Emirates,ARE,Asia,postbreeding_migration,Post-breeding Migration,0.291,0.834,140,2023-11-29
Grey Plover,1,#e8a87c,United Arab Emirates,ARE,Asia,prebreeding_migration,Pre-breeding Migration,0.192,0.416,91,2023-03-15
Grey Plover,1,#e8a87c,Argentina,ARG,South America,breeding,Breeding,0.038,0.066,0,2023-06-14
Grey Plover,1,#e8a87c,Argentina,ARG,South America,nonbreeding,Non-breeding,0.025,0.04,0,2023-02-08
Grey Plover,1,#e8a87c,Antigua and Barbuda,ATG,North America,nonbreeding,Non-breeding,0.011,0.039,98,2023-03-08
Grey Plover,1,#e8a87c,Australia,AUS,Oceania,breeding,Breeding,1.128,1.806,21,2023-07-12
Grey Plover,1,#e8a87c,Australia,AUS,Oceania,nonbreeding,Non-breeding,1.504,2.718,98,2023-12-06
Grey Plover,1,#e8a87c,Australia,AUS,Oceania,postbreeding_migration,Post-breeding Migration,1.081,2.886,126,2023-11-29
Grey Plover,1,#e8a87c,Australia,AUS,Oceania,prebreeding_migration,Pre-breeding Migration,0.578,1.745,35,2023-03-15
Grey Plover,1,#e8a87c,Azerbaijan,AZE,Asia,postbreeding_migration,Post-breeding Migration,0.154,0.273,63,2023-11-01
Grey Plover,1,#e8a87c,Azerbaijan,AZE,Asia,prebreeding_migration,Pre-breeding Migration,0.066,0.08,35,2023-05-03
Grey Plover,1,#e8a87c,Belgium,BEL,Europe,nonbreeding,Non-breeding,0.036,0.115,98,2023-03-08
Grey Plover,1,#e8a87c,Belgium,BEL,Europe,postbreeding_migration,Post-breeding Migration,0.013,0.042,140,2023-11-29
Grey Plover,1,#e8a87c,Belgium,BEL,Europe,prebreeding_migration,Pre-breeding Migration,0.024,0.094,91,2023-03-15
Grey Plover,1,#e8a87c,Benin,BEN,Africa,nonbreeding,Non-breeding,0.019,0.023,7,2023-12-06
Grey Plover,1,#e8a87c,Bangladesh,BGD,Asia,nonbreeding,Non-breeding,0.463,0.926,98,2023-01-04
Grey Plover,1,#e8a87c,Bangladesh,BGD,Asia,postbreeding_migration,Post-breeding Migration,0.043,0.145,84,2023-11-29
Grey Plover,1,#e8a87c,Bulgaria,BGR,Europe,nonbreeding,Non-breeding,0.052,0.076,98,2023-01-11
Grey Plover,1,#e8a87c,Bulgaria,BGR,Europe,postbreeding_migration,Post-breeding Migration,0.012,0.041,133,2023-10-11
Grey Plover,1,#e8a87c,Bahrain,BHR,Asia,nonbreeding,Non-breeding,0.059,0.111,98,2023-12-20
Grey Plover,1,#e8a87c,Bahrain,BHR,Asia,postbreeding_migration,Post-breeding Migration,0.039,0.157,140,2023-11-29
Grey Plover,1,#e8a87c,Bahrain,BHR,Asia,prebreeding_migration,Pre-breeding Migration,0.031,0.066,77,2023-03-15
