species,week_str,week_num,abundance_pct,total_abundance
Barn Swallow,2023-01-04,1,9.58,11211.844
Barn Swallow,2023-01-11,2,6.64,7773.614
Barn Swallow,2023-01-18,3,18.44,21580.011
Barn Swallow,2023-01-25,4,17.84,20876.948
Barn Swallow,2023-02-01,5,32.07,37530.975000000006
Barn Swallow,2023-02-08,6,11.13,13030.594
Barn Swallow,2023-02-15,7,13.44,15733.848999999998
Barn Swallow,2023-02-22,8,20.01,23418.770000000004
Barn Swallow,2023-03-01,9,11.19,13094.016
Barn Swallow,2023-03-08,10,9.85,11531.212
Barn Swallow,2023-03-15,11,8.32,9740.188
Barn Swallow,2023-03-22,12,7.2,8422.502
Barn Swallow,2023-03-29,13,4.98,5826.364
Barn Swallow,2023-04-05,14,5.54,6484.582
Barn Swallow,2023-04-12,15,7.6,8899.122
Barn Swallow,2023-04-19,16,8.51,9956.151000000002
Barn Swallow,2023-04-26,17,8.42,9860.61
Barn Swallow,2023-05-03,18,6.12,7166.990999999999
Barn Swallow,2023-05-10,19,3.95,4627.867
Barn Swallow,2023-05-17,20,3.45,4032.159
Barn Swallow,2023-05-24,21,2.53,2955.375
Barn Swallow,2023-05-31,22,2.29,2682.307
Barn Swallow,2023-06-07,23,2.18,2550.5420000000004
Barn Swallow,2023-06-14,24,2.34,2738.164
Barn Swallow,2023-06-21,25,3.07,3588.893
Barn Swallow,2023-06-28,26,3.65,4268.895
Barn Swallow,2023-07-05,27,8.67,10142.228
Barn Swallow,2023-07-12,28,19.03,22267.993
Barn Swallow,2023-07-19,29,23.25,27218.32
Barn Swallow,2023-07-26,30,34.53,40417.380000000005
Barn Swallow,2023-08-02,31,65.58,76755.42300000001
Barn Swallow,2023-08-09,32,49.35,57756.529
Barn Swallow,2023-08-16,33,100.0,117043.348
Barn Swallow,2023-08-23,34,71.28,83429.58
Barn Swallow,2023-08-30,35,34.34,40188.922
Barn Swallow,2023-09-06,36,24.56,28741.101
Barn Swallow,2023-09-13,37,32.8,38386.25200000001
Barn Swallow,2023-09-20,38,22.58,26427.370000000003
Barn Swallow,2023-09-27,39,17.34,20300.527
Barn Swallow,2023-10-04,40,13.91,16276.313
Barn Swallow,2023-10-11,41,31.74,37151.36200000001
Barn Swallow,2023-10-18,42,24.77,28992.29
Barn Swallow,2023-10-25,43,7.99,9352.739
Barn Swallow,2023-11-01,44,8.26,9673.489
Barn Swallow,2023-11-08,45,15.96,18685.319
Barn Swallow,2023-11-15,46,35.49,41536.318
Barn Swallow,2023-11-22,47,14.22,16647.36
Barn Swallow,2023-11-29,48,8.56,10022.31
Barn Swallow,2023-12-06,49,16.19,18945.502
Barn Swallow,2023-12-13,50,36.73,42987.697
Barn Swallow,2023-12-20,51,25.18,29475.238
Barn Swallow,2023-12-27,52,27.9,32658.703
Grey Plover,2023-01-04,1,77.35,1163.835
Grey Plover,2023-01-11,2,73.61,1107.558
Grey Plover,2023-01-18,3,72.3,1087.836
Grey Plover,2023-01-25,4,72.96,1097.785
Grey Plover,2023-02-01,5,71.0,1068.365
Grey Plover,2023-02-08,6,66.98,1007.829
Grey Plover,2023-02-15,7,60.0,902.825
Grey Plover,2023-02-22,8,57.14,859.7640000000001
Grey Plover,2023-03-01,9,52.98,797.1379999999999
Grey Plover,2023-03-08,10,52.87,795.58
Grey Plover,2023-03-15,11,54.18,815.2139999999999
Grey Plover,2023-03-22,12,58.57,881.22
Grey Plover,2023-03-29,13,56.96,857.0899999999999
Grey Plover,2023-04-05,14,54.26,816.436
Grey Plover,2023-04-12,15,51.2,770.3449999999998
Grey Plover,2023-04-19,16,54.18,815.195
Grey Plover,2023-04-26,17,55.76,838.976
Grey Plover,2023-05-03,18,58.95,887.005
Grey Plover,2023-05-10,19,64.2,965.971
Grey Plover,2023-05-17,20,67.02,1008.345
Grey Plover,2023-05-24,21,52.26,786.346
Grey Plover,2023-05-31,22,24.42,367.42599999999993
Grey Plover,2023-06-07,23,11.12,167.353
Grey Plover,2023-06-14,24,8.41,126.551
Grey Plover,2023-06-21,25,7.92,119.15
Grey Plover,2023-06-28,26,7.63,114.876
Grey Plover,2023-07-05,27,7.92,119.141
Grey Plover,2023-07-12,28,9.46,142.329
Grey Plover,2023-07-19,29,11.58,174.261
Grey Plover,2023-07-26,30,15.29,230.046
Grey Plover,2023-08-02,31,24.35,366.346
Grey Plover,2023-08-09,32,36.72,552.5740000000001
Grey Plover,2023-08-16,33,50.9,765.902
Grey Plover,2023-08-23,34,59.4,893.7779999999998
Grey Plover,2023-08-30,35,77.84,1171.276
Grey Plover,2023-09-06,36,96.7,1454.969
Grey Plover,2023-09-13,37,77.15,1160.85
Grey Plover,2023-09-20,38,73.95,1112.622
Grey Plover,2023-09-27,39,100.0,1504.648
Grey Plover,2023-10-04,40,89.58,1347.896
Grey Plover,2023-10-11,41,85.82,1291.266
Grey Plover,2023-10-18,42,78.08,1174.802
Grey Plover,2023-10-25,43,67.22,1011.442
Grey Plover,2023-11-01,44,58.66,882.566
Grey Plover,2023-11-08,45,51.77,778.996
Grey Plover,2023-11-15,46,61.9,931.448
Grey Plover,2023-11-22,47,58.65,882.4920000000001
Grey Plover,2023-11-29,48,57.93,871.636
Grey Plover,2023-12-06,49,50.96,766.818
Grey Plover,2023-12-13,50,48.6,731.28
Grey Plover,2023-12-20,51,50.25,756.075
Grey Plover,2023-12-27,52,53.4,803.512
Red Knot,2023-01-04,1,44.51,1217.46
Red Knot,2023-01-11,2,46.57,1273.839
Red Knot,2023-01-18,3,53.73,1469.7320000000002
Red Knot,2023-01-25,4,58.63,1603.667
Red Knot,2023-02-01,5,56.53,1546.2820000000002
Red Knot,2023-02-08,6,51.6,1411.532
Red Knot,2023-02-15,7,42.41,1159.957
Red Knot,2023-02-22,8,41.26,1128.562
Red Knot,2023-03-01,9,38.47,1052.324
Red Knot,2023-03-08,10,36.45,997.014
Red Knot,2023-03-15,11,38.06,1041.194
Red Knot,2023-03-22,12,35.88,981.449
Red Knot,2023-03-29,13,33.93,928.05
Red Knot,2023-04-05,14,36.32,993.5
Red Knot,2023-04-12,15,35.92,982.477
Red Knot,2023-04-19,16,43.95,1202.193
Red Knot,2023-04-26,17,44.19,1208.881
Red Knot,2023-05-03,18,39.86,1090.228
Red Knot,2023-05-10,19,37.88,1036.297
Red Knot,2023-05-17,20,36.25,991.546
Red Knot,2023-05-24,21,24.59,672.556
Red Knot,2023-05-31,22,16.77,458.617
Red Knot,2023-06-07,23,9.69,265.00100000000003
Red Knot,2023-06-14,24,7.78,212.706
Red Knot,2023-06-21,25,6.65,181.82
Red Knot,2023-06-28,26,6.2,169.56700000000004
Red Knot,2023-07-05,27,7.25,198.20200000000003
Red Knot,2023-07-12,28,9.36,255.912
Red Knot,2023-07-19,29,15.42,421.829
Red Knot,2023-07-26,30,19.99,546.822
Red Knot,2023-08-02,31,25.08,686.0
Red Knot,2023-08-09,32,23.58,645.0930000000001
Red Knot,2023-08-16,33,28.43,777.6389999999999
Red Knot,2023-08-23,34,34.26,937.216
Red Knot,2023-08-30,35,43.73,1196.0949999999998
Red Knot,2023-09-06,36,54.29,1484.935
Red Knot,2023-09-13,37,57.39,1569.752
Red Knot,2023-09-20,38,63.02,1723.752
Red Knot,2023-09-27,39,73.18,2001.6400000000003
Red Knot,2023-10-04,40,80.21,2194.124
Red Knot,2023-10-11,41,100.0,2735.3920000000003
Red Knot,2023-10-18,42,88.26,2414.2029999999995
Red Knot,2023-10-25,43,53.9,1474.2510000000002
Red Knot,2023-11-01,44,54.51,1491.159
Red Knot,2023-11-08,45,63.62,1740.16
Red Knot,2023-11-15,46,61.7,1687.794
Red Knot,2023-11-22,47,84.29,2305.756
Red Knot,2023-11-29,48,81.16,2220.115
Red Knot,2023-12-06,49,63.26,1730.4489999999998
Red Knot,2023-12-13,50,58.86,1610.058
Red Knot,2023-12-20,51,46.56,1273.6130000000005
Red Knot,2023-12-27,52,43.46,1188.845
Upland Sandpiper,2023-01-04,1,0.97,5.258
Upland Sandpiper,2023-01-11,2,0.29,1.557
Upland Sandpiper,2023-01-18,3,0.72,3.885
Upland Sandpiper,2023-01-25,4,3.05,16.534
Upland Sandpiper,2023-02-01,5,6.91,37.540000000000006
Upland Sandpiper,2023-02-08,6,9.8,53.224
Upland Sandpiper,2023-02-15,7,10.03,54.447
Upland Sandpiper,2023-02-22,8,9.77,53.023
Upland Sandpiper,2023-03-01,9,10.76,58.399
Upland Sandpiper,2023-03-08,10,13.48,73.167
Upland Sandpiper,2023-03-15,11,2.36,12.809
Upland Sandpiper,2023-03-22,12,1.35,7.303999999999999
Upland Sandpiper,2023-03-29,13,21.49,116.66
Upland Sandpiper,2023-04-05,14,46.55,252.755
Upland Sandpiper,2023-04-12,15,60.97,331.024
Upland Sandpiper,2023-04-19,16,64.71,351.37
Upland Sandpiper,2023-04-26,17,58.01,314.988
Upland Sandpiper,2023-05-03,18,44.23,240.16200000000003
Upland Sandpiper,2023-05-10,19,44.03,239.065
Upland Sandpiper,2023-05-17,20,43.39,235.609
Upland Sandpiper,2023-05-24,21,41.68,226.288
Upland Sandpiper,2023-05-31,22,43.56,236.504
Upland Sandpiper,2023-06-07,23,47.59,258.374
Upland Sandpiper,2023-06-14,24,55.58,301.804
Upland Sandpiper,2023-06-21,25,63.84,346.63
Upland Sandpiper,2023-06-28,26,59.27,321.824
Upland Sandpiper,2023-07-05,27,54.36,295.136
Upland Sandpiper,2023-07-12,28,52.67,285.997
Upland Sandpiper,2023-07-19,29,45.94,249.433
Upland Sandpiper,2023-07-26,30,55.49,301.302
Upland Sandpiper,2023-08-02,31,78.75,427.612
Upland Sandpiper,2023-08-09,32,96.55,524.231
Upland Sandpiper,2023-08-16,33,100.0,542.968
Upland Sandpiper,2023-08-23,34,93.53,507.825
Upland Sandpiper,2023-08-30,35,75.4,409.403
Upland Sandpiper,2023-09-06,36,59.04,320.56100000000004
Upland Sandpiper,2023-09-13,37,34.16,185.481
Upland Sandpiper,2023-09-20,38,3.57,19.372
Upland Sandpiper,2023-09-27,39,0.68,3.716
Upland Sandpiper,2023-10-11,41,0.06,0.316
Upland Sandpiper,2023-10-18,42,0.93,5.059
Upland Sandpiper,2023-10-25,43,0.93,5.071
Upland Sandpiper,2023-11-01,44,2.03,11.008
Upland Sandpiper,2023-11-08,45,3.48,18.897
Upland Sandpiper,2023-11-15,46,3.3,17.916
Upland Sandpiper,2023-11-22,47,3.32,18.029
Upland Sandpiper,2023-11-29,48,3.72,20.224
Upland Sandpiper,2023-12-06,49,3.15,17.089
Upland Sandpiper,2023-12-13,50,2.59,14.050999999999998
Upland Sandpiper,2023-12-20,51,2.18,11.854999999999997
Upland Sandpiper,2023-12-27,52,2.56,13.888
